// Cantrips
// -----------------
// Azura's Rain					AGTT_Projectile_AzurasRain
// Conjure Wisp
// Create Item
// Create or Destroy Water		AGTT_Target_CreateWater
// Bind Familiar
// Mehrune's Smoke				AGTT_Target_MehrunesSmoke
// Meridia's Grasp				AGTT_Target_MeridiasGrasp

data "SpellAnimationNoneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "VerbalIntent" "Damage"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful"
data "MemoryCost" "1"

new entry "AGTT_Target_CreateWater"
type "SpellData"
data "SpellType" "Target"
using "Target_CreateWater"
data "Level" "0"
data "UseCosts" "ActionPoint:1"
data "RootSpellID" "Target_CreateWater"

new entry "AGTT_Target_MehrunesSmoke"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Conjuration"
data "Icon" "Spell_Evocation_Darkness"
data "DisplayName" "2425ff37-ac7a-42c4-bf5b-aa1221187865"
data "Description" "087eadde-160f-493d-9a20-4fdd52a192a9;1"
data "SpellProperties" "GROUND:CreateSurface(5,0,DarknessCloud)"
data "DescriptionParams" "Distance(5)"
data "TargetRadius" "9"
data "AreaRadius" "5"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Utility_Root_01:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_Dummy_EyeFX_01:Dummy_EyeFX_01,Dummy_EyeFX_02::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Utility_CastFX_01:Dummy_CastFX::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Utility_TargetAoe_Rise_CastFX_01,Detach:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Utility_TargetAoe_Rise_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "PositionEffect" "VFX_Spells_Cast_Intent_Utility_TargetAoE_Impact_Root_01::Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Utility_Darkness_L1to3"
data "VocalComponentSound" "Vocal_Component_Dark"
data "TargetSound" "Spell_Impact_Utility_Darkness_L1to3"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "ActionPoint:1
data "SpellAnimationArcaneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197(SPL_Arcane_Utility_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasVerbalComponent;IsSpell;IsConcentration;Stealth"
data "MemoryCost" "1"

new entry "AGTT_Target_MeridiasGrasp"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Conjuraiton"
data "Icon" "Spell_Abjuration_Aid"
data "DisplayName" "1d5c8545-436c-4f11-ab02-37c5b03ade05"
data "Description" "15853b72-5362-44ff-b310-d36f90d1502e"
data "DescriptionParams" "DealDamage(1d6,Radiant)"
data "TargetRadius" "3"
data "TargetConditions" "Character() and not Dead()"
data "SpellRoll" "Attack(RangedSpellAttack)"
data "SpellConditions" "DealDamage(1d6, Radiant);ApplyStatus(AGTT_STATUS_MERIDIASGRASP, 100, 1)"
data "TooltipDamageList" "DealDamage(1d6, Radiant)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_MERIDIASGRASP, 100, 1)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Damage_Radiant_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Damage_Radiant_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Damage_Radiant_ProjectileSingle_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Radiant_ProjectileSingle_R_HandFX_Textkey_02:Dummy_R_HandFX:VFX_Somatic_02:0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Damage_Radiant_GuidingBolt_L1to3"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "VerbalIntent" "Damage"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful"
data "MemoryCost" "1"


// 1st Level Spells
// -----------------
// Analyze Portal
// Bound Weapon
// Clannfear's Nose					AGTT_Shout_ClannfearsNose
// Coldharbor's Rain				AGTT_Projectile_ColdharborsRain
// Conjure Horse
// Conjure Lesser Daedra
// Empathy							AGTT_Shout_Empathy
// Ensnaring Strike					AGTT_Target_EnsnaringStrike
// Watcher							AGTT_Target_Watcher

new entry "AGTT_Shout_ClannfearsNose"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "Icon" "unknown"
data "DisplayName" "81c611ca-fb01-4314-9693-7a4a8ad1d76b"
data "Description" "1450156b-8e04-4267-9407-49ee6b8acbc0"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_CLANNFEARSNOSE, 100, 18)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_CLANNFEARSNOSE, 100, 18)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_Root_Textkey_01,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoE_Impact_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_TargetSingle_PostProcess_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoe_Rise_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoE_Rise_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoE_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Healing_Aid_L1to3"
data "VocalComponentSound" "Vocal_Component_BoostMaxHP"
data "TargetSound" "Spell_Impact_Healing_Aid_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "SpellAnimationArcaneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "VerbalIntent" "Healing"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetItems;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "AGTT_Projectile_ColdharborsRain"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Conjuration"
data "Icon" "Spell_Conjuration_PoisonSpray"
data "DisplayName" "4d06ceae-fb7c-48c0-8922-a2bdc11ffecf"
data "Description" "19f2efb4-6ea5-40fb-9e12-a515607aa034;1"
data "TargetRadius" "30"
data "AreaRadius" "12"
data "ProjectileCount" "1"
data "Template" "2b5bc94d-d60b-402e-92a3-76e6f2ba5fce"
data "SpellRoll" "not SavingThrow(Ability.Dexterity, SourceSpellDC())"
data "SpellSuccess" "TARGET:AOE:DealDamage(2d4, Acid)ApplyStatus(AGTT_STATUS_COLDHARBORSRAIN, 100, 3);TARGET:DealDamage(2d4, Acid);ApplyStatus(AGTT_STATUS_COLDHARBORSRAIN, 100, 3)"
data "SpellFail" "TARGET:AOE:DealDamage(2d4, Acid);TARGET:DealDamage(2d4, Acid)"
data "TooltipAttackSave" "Dexterity"
data "TooltipDamageList" "DealDamage(2d4, Acid)"
data "DescriptionParams" "DealDamage(2d4, Acid)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_COLDHARBORSRAIN, 100, 3)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Damage_Radiant_R_HandFX_01:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Damage_Radiant_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Damage_Radiant_ProjectileSingle_R_HandFX_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Damage_Radiant_ProjectileSingle_R_HandFX_Textkey_02:Dummy_R_HandFX:VFX_Somatic_02:0:None::None::0:0::::"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Damage_Radiant_GuidingBolt_L1to3"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimationArcaneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0(SPL_Arcane_Damage_Combat_01_Prepare);;38cdb41c-2eec-4e03-bb31-83cff0346c35(SPL_Somatic_Projectile_Combat_01_Cast);85414f5f-b448-4dda-9370-1b6c4b38b561(SPL_Somatic_Projectile_Combat_01_Recover);;"
data "VerbalIntent" "Damage"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful"
data "MemoryCost" "1"

new entry "AGTT_Shout_Empathy"
type "SpellData"
data "SpellType" "Shout"
data "Icon" "Spell_Enchantment_DissonantWhispers"
data "SpellSchool" "Conjuration"
data "Level" "1"
data "DisplayName" "60925182-b35c-41a0-a8dc-e3884e5abee5"
data "Description" "c2b9180a-5a5f-458c-be13-9d212baa6866"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_EMPATHY, 100, 18)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_EMPATHY, 100, 18)"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_Root_Textkey_01,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoE_Impact_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_TargetSingle_PostProcess_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoe_Rise_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoE_Rise_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoE_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Healing_Aid_L1to3"
data "VocalComponentSound" "Vocal_Component_BoostMaxHP"
data "TargetSound" "Spell_Impact_Healing_Aid_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "SpellAnimationArcaneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "VerbalIntent" "Healing"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetItems;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "AGTT_Target_EnsnaringStrike"
type "SpellData"
data "SpellType" "Target"
using "Target_EnsnaringStrike"
data "SpellSchool" "Conjuration"

new entry "AGTT_Target_Watcher"
type "SpellData"
data "SpellType" "Target"
data "SpellSchool" "Conjuration"
data "Icon" "Spell_Illusion_MinorIllusion"
data "Level" "1"
data "DisplayName" "89c9e008-2be2-4001-b00e-270821c41fa7"
data "Description" "61248879-9644-48e7-ad72-a87c623d46f7"
data "DescriptionParams" "DealDamage(2d6, Psychic)"
data "TooltipStatusApply" "ApplyStatus(AGTT_STATUS_WATCHER, 100, 1)"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_WATCHER, 100, 1)"
data "TargetRadius" "9"
data "TargetConditions" "Character() and not Dead()"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_Textkey_01:Dummy_CastFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_Root_Textkey_01,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoE_Impact_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_TargetSingle_PostProcess_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoe_Rise_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_ShoutAoE_Rise_CastFX_Textkey_01:Dummy_CastFX:Cast:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Healing_ShoutAoE_Impact_Root_Textkey_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Healing_Aid_L1to3"
data "VocalComponentSound" "Vocal_Component_BoostMaxHP"
data "TargetSound" "Spell_Impact_Healing_Aid_L1to3"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "SpellAnimationArcaneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "414bbf02-2918-4f01-83fb-1ddc7a588d88(SPL_Arcane_Healing_Combat_01_Prepare);;7abe77ed-9c77-4eac-872c-5b8caed070b6(SPL_Somatic_Aoe_Rise_Combat_01_Cast);cb171bda-f065-4520-b470-e447f678ba1f(SPL_Somatic_Aoe_Rise_Combat_01_Recover);;"
data "VerbalIntent" "Healing"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;CannotTargetItems;CannotTargetTerrain"
data "MemoryCost" "1"

new entry "AGTT_Shout_BoundWeapon"
type "SpellData"
data "SpellType" "Shout"
data "Level" "1"
data "SpellSchool" "Conjuration"
data "TargetConditions" "Self()"
data "Icon" "Skill_Warlock_PactOfTheBlade_BoundWeapon"
data "PrepareEffect" "4694d076-bd9a-4a02-9e12-caacb7feb24f"
data "CastEffect" "a1f13b07-5643-4735-9dad-fd251d7c8794"
data "CastTextEvent" "Cast"
data "CastSound" "Action_Cast_PactOfTheBlade"
data "UseCosts" "BonusActionPoint:1;SpellSlot:1:1:1"
data "SpellAnimationArcaneMagic" "6f42f5f3-7a5a-4441-a02e-71b0450ac4b7(SPL_Arcane_Summon_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimationDivineMagic" "6f42f5f3-7a5a-4441-a02e-71b0450ac4b7(SPL_Arcane_Summon_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimationNoneMagic" "6f42f5f3-7a5a-4441-a02e-71b0450ac4b7(SPL_Arcane_Summon_Combat_01_Prepare);;c0513845-6e0e-42e8-9a8c-baa5e2b6ead6(SPL_Somatic_Summon_Combat_01_Cast);fbf20742-9dbf-475b-9ff5-42e4b08064ad(SPL_Somatic_Summon_Combat_01_Recover);;"
data "SpellAnimation" "5e57443f-284e-47b2-915e-5b6417db269c,,;d8b7f668-db2b-43b0-9707-5da2ed2cf27e,,;7521e279-1bb3-4105-b32d-8206234836a3,,;d172e037-7041-4352-9a20-5f4b185f9ef1,,;5bcdefbb-2194-46c2-ac77-0b2d8472a5f7,,;,,;5fdb66be-7506-411a-a7ea-c4783288aac8,,;,,;,,"
data "VerbalIntent" "Summon"
data "SpellFlags" "HasSomaticComponent;IsSpell;Stealth"
data "RequirementConditions" "not HasStatus('AGTT_STATUS_HASBOUNDWEAPON')"

new entry "AGTT_Shout_BoundBattleaxe"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_BATTLEAXE, 100, 9)"
data "DisplayName" "915aa549-ad0b-4be8-ac75-648bbd26f7c5"
data "Description" "f4066a6c-e6fe-4660-8f0d-7adb9d5c80f3"

new entry "AGTT_Shout_BoundGreataxe"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUND_GREATAXE, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9)"
data "DisplayName" "d92ec699-b1e5-4d30-bea3-63b18cbcac66"
data "Description" "53ab9acf-c6b2-4e75-9390-aa04ed628bc4"

new entry "AGTT_Shout_BoundDagger"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_DAGGER, 100, 9)"
data "DisplayName" "0d28cb50-e904-4588-bf99-a3bc864deea9"
data "Description" "72e4cd1b-c981-453a-8950-7e0d73b65041"

new entry "AGTT_Shout_BoundMace"
type "SpellData"
data "SpellType" "Shout"
using "AGTT_Shout_BoundWeapon"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_HASBOUNDWEAPON, 100, 9);ApplyStatus(AGTT_STATUS_HASBOUND_MACE, 100, 9)"
data "DisplayName" "63590eec-6ebc-4ac2-9a45-f28cc7c7ac23"
data "Description" "4a65fa3b-a66e-4240-8749-7a4f5dacfcfb"

